Block,Plate_number,Bacterial_strain,C.elegans_strain,Date_time_picked,Date_time_counted,Worms_ON,Worms_OFF,N_dead_worms,N_burrowed,Excl_from_sub20
6,18,OP50,MY16,3/9/22 15:00,3/10/22 14:22,19,0,,,0
6,19,Db10,MY16,3/9/22 15:02,3/10/22 10:10,1,10,,,0
6,19,Db10,MY16,3/9/22 15:02,3/10/22 14:26,0,10,,,0
6,20,OP50,N2,3/9/22 15:20,3/10/22 10:12,18,2,,,0
6,20,OP50,N2,3/9/22 15:20,3/10/22 14:27,20,0,,,0
6,21,Db10,N2,3/9/22 15:27,3/10/22 10:20,3,13,,,0
6,21,Db10,N2,3/9/22 15:27,3/10/22 14:32,3,14,,,0
6,22,Db10,DL238,3/9/22 15:40,3/10/22 10:25,5,15,,,0
6,22,Db10,DL238,3/9/22 15:40,3/10/22 14:37,1,16,,,0
6,23,Db10,DL238,3/9/22 15:43,3/10/22 10:31,2,14,,,0
6,23,Db10,DL238,3/9/22 15:43,3/10/22 14:43,1,16,,,0
6,24,OP50,DL238,3/9/22 15:57,3/10/22 10:35,19,1,,,0
